2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
2023-11-27 10:32:15 | Transaction ID: 12345 | User: John Doe | Payment Method: Visa | Amount: $50.00 | Status: Success | Payment Gateway: Stripe
2023-11-27 10:35:22 | Transaction ID: 67890 | User: Jane Smith | Payment Method: Mastercard | Amount: $100.00 | Status: Failed | Payment Gateway: PayPal
2023-11-27 10:40:01 | Transaction ID: 123456 | User: Alex Brown | Payment Method: PayPal | Amount: $25.00 | Status: Pending | Payment Gateway: PayPal
